109     
t_index 		tf-idf
67      		0.053494
207     		0.040909
839     		0.077846
946     		0.293881
1078    		0.137826
1492    		0.026580
1601    		0.045890
1709    		0.052714
1868    		0.070915
1937    		0.035405
1964    		0.086759
2042    		0.098301
2150    		0.081901
2871    		0.097103
2978    		0.107061
3079    		0.040556
3146    		0.076801
3270    		0.066505
3327    		0.030833
3329    		0.080081
3422    		0.073909
3485    		0.061638
3546    		0.070123
4004    		0.053826
4139    		0.081279
4270    		0.076643
4305    		0.097103
4513    		0.064256
4619    		0.046478
4734    		0.062767
4739    		0.079503
4913    		0.039864
4932    		0.088344
4942    		0.032884
4946    		0.032376
4991    		0.057578
5185    		0.059524
5458    		0.108881
5533    		0.150625
5584    		0.083193
5688    		0.086003
5905    		0.074368
5942    		0.107061
5989    		0.031715
5999    		0.042376
6079    		0.051589
6128    		0.090038
6279    		0.225966
6339    		0.054921
6365    		0.040556
6412    		0.071734
6717    		0.309533
6730    		0.077318
6875    		0.034293
7096    		0.098301
7118    		0.137961
7172    		0.027871
7452    		0.216367
7480    		0.054299
7513    		0.074368
7840    		0.040202
7872    		0.055993
8042    		0.043143
8138    		0.029456
8210    		0.016821
8212    		0.039302
8215    		0.132342
8330    		0.052333
8393    		0.098301
8439    		0.040092
8484    		0.133688
8515    		0.053101
8597    		0.066171
8711    		0.139473
8843    		0.099561
8963    		0.120804
9018    		0.102292
9492    		0.073016
9506    		0.075799
9507    		0.124960
9699    		0.120804
9707    		0.090931
9732    		0.085270
9849    		0.106201
10091   		0.074368
10181   		0.054095
10219   		0.051225
10264   		0.092821
10277   		0.127869
10330   		0.249921
10354   		0.066844
10500   		0.058532
10656   		0.132346
10827   		0.049821
10881   		0.058793
10938   		0.161345
10946   		0.057813
11604   		0.057813
11744   		0.059023
11797   		0.059023
11823   		0.120804
11842   		0.025991
11894   		0.046036
11999   		0.071321
12001   		0.120539
12004   		0.050338
12017   		0.074836
12086   		0.015691
12124   		0.052523
